"song_name","artist_id","artist_name","play_count","song_id","user_id"
"Paralyzer","AR6BNBY1187B998232","Finger Eleven",6,"SOSCPOI12A8C139F02","CAAQVEW13332A8CD22"
"Show Me How To Live","AR9LMA81187FB4C9B0","Audioslave",NA,"SOFSETB12A8C134038","CAAQVEW13332A8CD22"
"Move Along","ARR1R5V1187FB4D234","The All-American Rejects",4,"SOALJAA12A6702085C","CAAQVEW13332A8CD22"
"Say What You Say","ARTH9041187FB43E1F","Eminem",NA,"SOCLXRC1315CD46F09","CAAQVEW13332A8CD22"
"Buddy Holly","AR633SY1187B9AC3B9","Weezer",NA,"SOBHNKR12AB0186218","CAAQVEW13332A8CD22"
"My Immortal","ARVXU2X1187B9AE6D8","Evanescence",NA,"SOIPYPB12A8C1360D4","CAAQVEW13332A8CD22"
"Imma Be","ARTDQRC1187FB4EFD4","The Black Eyed Peas",3,"SOBADEB12AB018275F","CAAQVEW13332A8CD22"
"Swallowing Razorblades","AR1MWSF1187B9A66E2","Parkway Drive",22,"SOIMRON131343947C8","CAEZWSU13332D65807"
"I Watched","AR1MWSF1187B9A66E2","Parkway Drive",2,"SOSYWUX12A8C13E669","CAEZWSU13332D65807"
"Emotional Breakdown","AR1MWSF1187B9A66E2","Parkway Drive",1,"SODKQEY12A8C13ED50","CAEZWSU13332D65807"
"Take This (Album Version)","AR3WLE91187B99430A","Staind",1,"SORBPKQ12A58A7B442","CAEZWSU13332D65807"
"Hollow Man","AR1MWSF1187B9A66E2","Parkway Drive",14,"SOBYJAU12A8C13ED6C","CAEZWSU13332D65807"
"Outside (Original LP Version)","AR3WLE91187B99430A","Staind",NA,"SOREPNQ12A58A7B49E","CAEZWSU13332D65807"
"Open Your Eyes (Explicit LP Version)","AR3WLE91187B99430A","Staind",6,"SORIZAD12A6D4F957C","CAEZWSU13332D65807"
"Change (Explicit LP Version)","AR3WLE91187B99430A","Staind",1,"SOAVVUG12A6D4F957F","CAEZWSU13332D65807"
"Suffer (LP Version)","AR3WLE91187B99430A","Staind",15,"SOBRHDZ12A6D4F9581","CAEZWSU13332D65807"
"Showtime At The Gallow","ARICWIL1187B9A869B","Canibus",1,"SOJYVYE12A8C13F60B","CAEZWSU13332D65807"
"Emotional Breakdown","AR1MWSF1187B9A66E2","Parkway Drive",1,"SODKQEY12A8C13ED50","CAEZWSU13332D65807"
"How We Roll","ARICWIL1187B9A869B","Canibus",5,"SONWAVX12A8C141BA6","CAEZWSU13332D65807"
"Shine Down","AR8ICRA1187B9B8A5F","Godsmack",11,"SOVSLCI12A8C137ED3","CAEZWSU13332D65807"
"Hollow Ground","ARPKATM1187B9B76E6","Hatebreed",1,"SOHTIYC12A6701DF9B","CAEZWSU13332D65807"
"Remain Nameless","ARPKATM1187B9B76E6","Hatebreed",9,"SOGHESK12A58A7BC7A","CAEZWSU13332D65807"
"CHANGE CLOTHES AND GO (Intro Version)","ARLGIX31187B9AE9A0","Jay-Z",1,"SOQSEQF12A6D4F8A75","CAAGLBG13332896B09"
"Public Service Announcement (Interlude)","ARLGIX31187B9AE9A0","Jay-Z",1,"SOABOHM12AB018509C","CAAGLBG13332896B09"
"Meaning","ARQKYIJ1187FB44AD0","Quantic",2,"SOAKIEB12AF72ACC24","CAAGLBG13332896B09"
"Inaudible Melodies","ARC8CQZ1187B98DECA","Jack Johnson",1,"SOQPQWL12A58A7B964","CAAGLBG13332896B09"
"Gone","ARRH63Y1187FB47783","Kanye West",5,"SOLMTZU1315CD47785","CAAGLBG13332896B09"
"Get Em High","ARRH63Y1187FB47783","Kanye West",2,"SODYVNX12A8C1444E0","CAAGLBG13332896B09"
"Slow Jamz","ARRH63Y1187FB47783","Kanye West",2,"SOKZZGT12A67ADA4C3","CAAGLBG13332896B09"
"Black Tangled Heart","ARIH5GU1187FB4C958","Silverchair",1,"SOSJERC131343928F3","CAAGLBG13332896B09"
"Satin Sheets","ARIH5GU1187FB4C958","Silverchair",NA,"SOGUIWI12A58A7D155","CAAGLBG13332896B09"
"Walking Through Tomorrow (Super 8 Part 3)","ARMMVME1187FB44958","The Quantic Soul Orchestra",1,"SOFSWFR12A6D4F8BFF","CAAGLBG13332896B09"
"Pardon Me","AR1RMYB1187FB5A59E","Incubus",1,"SOIIVGZ12A8C1320CF","CAAGLBG13332896B09"
"Make Yourself","AR1RMYB1187FB5A59E","Incubus",NA,"SOCWAVM12A8C1320D5","CAAGLBG13332896B09"
"Punch Drunk","AR1RMYB1187FB5A59E","Incubus",1,"SOBWSDY12AF72A9310","CAAGLBG13332896B09"
"Dumb","ARH3S5S1187FB4F76B","Nirvana",1,"SOOPLRK1315CD4678F","CAAGLBG13332896B09"
"On A Plain","ARH3S5S1187FB4F76B","Nirvana",1,"SOKPYML12A8C13CA2E","CAAGLBG13332896B09"
"My Lovin' (You're Never Gonna Get It) (LP Version)","AR5GRYQ1187B9B32D5","En Vogue",1,"SOBMCEI12A6D4F65BD","CAIZTEW1332EB65571"
"Ignition","ARLMXEA1187B9A7D04","R. Kelly",4,"SOVCOYG12AF72A065D","CAIZTEW1332EB65571"
"Truth","ARQR6U21187B99E8DC","Amos Lee",1,"SOMYSDQ12AB0183042","CAIZTEW1332EB65571"
"Street Corner Preacher","ARQR6U21187B99E8DC","Amos Lee",NA,"SOBCVZT12AF72A4506","CAIZTEW1332EB65571"
"Land Of 1000 Dances","ARW2AMZ1187FB381AC","Wilson Pickett",NA,"SOZJEAW12A58A761DB","CAIZTEW1332EB65571"
"(It's Not Easy) Bein' Green","ARUYFUJ1187FB55430","Sophie Milman",1,"SORPGAE12AB0188B76","CAIZTEW1332EB65571"
"Seven Nation Army","AR8V1WA1187B9AD9E9","The White Stripes",1,"SOAUFOF12AB0180C65","CAIZTEW1332EB65571"
"No Rain","ARPDMG81187FB5B858","Blind Melon",1,"SOWUZVU12A6D4F914D","CAIZTEW1332EB65571"
"Street Corner Preacher","ARQR6U21187B99E8DC","Amos Lee",1,"SOBCVZT12AF72A4506","CAIZTEW1332EB65571"
"The King Of Carrot Flowers Parts Two And Three","ARZN0BZ1187B99F496","Neutral Milk Hotel",1,"SONXCYX12AB0184785","CAIZTEW1332EB65571"
"In The Aeroplane Over The Sea","ARZN0BZ1187B99F496","Neutral Milk Hotel",1,"SOXUYUZ12A8C13A67E","CAIZTEW1332EB65571"
"Communist Daughter","ARZN0BZ1187B99F496","Neutral Milk Hotel",NA,"SOJSZKL12A8C13A691","CAIZTEW1332EB65571"
"Mother Mother","AR1YDJM1187FB42A46","Tracy Bonham",1,"SOSVEMQ12A6D4F9766","CAIZTEW1332EB65571"
"Rocket Love","ARUYFUJ1187FB55430","Sophie Milman",1,"SODEULH12AB0186D11","CAIZTEW1332EB65571"
"So Long, You Fool","ARUYFUJ1187FB55430","Sophie Milman",NA,"SOYNPQT12AB0186D14","CAIZTEW1332EB65571"
"Sample Track 2","ARWR05M1187B9951A2","AC/DC",1,"SOLRGNF12AB0187CF4","CAMHFWL1333286D5BB"
"Do You Remember","ARC8CQZ1187B98DECA","Jack Johnson",6,"SOKUTUM12A6701D9CD","CAMHFWL1333286D5BB"
"Actions & Motives","ARBRIE41187FB4D1BE","10 Years",2,"SOMVKFL12AF72A42A7","CAMHFWL1333286D5BB"
NA,"ARJ7KF01187B98D717","Coldplay",5,"SOMRYYN12A6310F0F3","CAMHFWL1333286D5BB"
"Auto Pilot","AR6G4V01187B9AD086","Queens of the Stone Age",4,"SOGAAFJ12AF72A4E87","CAMHFWL1333286D5BB"
"Hips Don't Lie (featuring Wyclef Jean)","AR6PJ8R1187FB5AD70","Shakira",NA,"SOEHWGF12A6D4F8B2B","CAMHFWL1333286D5BB"
"Pump It","ARTDQRC1187FB4EFD4","The Black Eyed Peas",1,"SOMEUED12A6701DBEA","CAMHFWL1333286D5BB"
"Come As You Are","ARH3S5S1187FB4F76B","Nirvana",5,"SODEOCO12A6701E922","CAMHFWL1333286D5BB"
"Leave (LP Version)","ARVLXWP1187FB5B94A","matchbox twenty",5,"SOXERTH12A81C21D13","CAMHFWL1333286D5BB"
"Use Somebody","ARF2EHS1187B994F4E","Kings of Leon",4,"SOWCKVR12A8C142411","CAMHFWL1333286D5BB"
"Bubble Toes","ARC8CQZ1187B98DECA","Jack Johnson",2,"SOSPXWA12AB0181875","CAMHFWL1333286D5BB"
"James Dean  (LP Version)","AR16GSC1187B9A6291","Eagles",1,"SOPCAXN12A8AE482E0","CAMHFWL1333286D5BB"
"Girl Like That  (LP Version)","ARVLXWP1187FB5B94A","matchbox twenty",2,"SOWAKUX12AF72A310F","CAMHFWL1333286D5BB"
"He Went To Paris","ARTBSEF1187FB3CBDE","Jimmy Buffett",1,"SOHNVTR12A6D4F86E3","CAMHFWL1333286D5BB"
"Kryptonite","ARW1MUW1187FB4D5A1","3 Doors Down",1,"SOLLNTU12A6701CFDC","CAMHFWL1333286D5BB"
"Wait And Bleed (Album Version)","AR0KBXO1187B996460","Slipknot",5,"SOWKRSR12A8C13CA37","CAXAHSF1333297AB92"
"You'll Never Be Alone","AR4RBOB1187B9AC209","Anastácia",1,"SOCKMUB12A8C143C37","CAXAHSF1333297AB92"
"Eterno Viajero","ARAD2OX1187B9A6438","Extrechinato y tú",NA,"SOALIOI12A8C13C36A","CAXAHSF1333297AB92"
"Smooth Criminal","ARO6A7Q1187FB4CFC4","Alien Ant Farm",2,"SOOCKPO12A67021D10","CAXAHSF1333297AB92"
"Erase It Again","ARRWSRA1187FB3AFEB","Sparta",1,"SOAKUTA12A8C13BE71","CAXAHSF1333297AB92"
"The Most Vicious Crime","ARRWSRA1187FB3AFEB","Sparta",2,"SOXGZNW12A8C13BE75","CAXAHSF1333297AB92"
"Supermassive Black Hole (Album Version)","ARR3ONV1187B9A2F59","Muse",2,"SOIZLKI12A6D4F7B61","CAXAHSF1333297AB92"
"Violet","AR8V18L1187B9B4AF6","Hole",5,"SOONZEM12A6701EB10","CAXAHSF1333297AB92"
"Poison Eye","ARDL7S81187FB37625","Chris Cornell",1,"SOMAUYZ12A8C135979","CAXAHSF1333297AB92"
"FUNKASTIC","ARMYLWF1187FB3EA7F","RIP SLYME",2,"SOBCJCF12A8C13BF88","CAXAHSF1333297AB92"
"Seven Nation Army","AR8V1WA1187B9AD9E9","The White Stripes",1,"SOAUFOF12AB0180C65","CAXAHSF1333297AB92"
"Dos (LP Version)","ARKWN6U1187B9A59E9","Chevelle",13,"SOKBVAV12A67020362","CAXAHSF1333297AB92"
"Personal Jesus","AR6LZB61187B9AF431","Depeche Mode",1,"SOXZUAV12A6310F21A","CAXAHSF1333297AB92"
"Sandy","AR7ERPE1187B98E766","John Travolta",NA,"SODRBIZ12A6701FD17","CAXAHSF1333297AB92"
"Beer","ARZJ4MI1187B9AF5AF","Reel Big Fish",3,"SODFDJT12A8C13A08E","CAXAHSF1333297AB92"
"Alguien Soy Yo","ARDCFNZ1187FB3DDB0","Enrique Iglesias",1,"SOAMKRU12A58A814CB","CAMRBJJ13332F2C1EA"
"En Algun Lugar","AR7S2271187FB38B1F","Duncan Dhu",NA,"SOFDBEA12A67ADD058","CAMRBJJ13332F2C1EA"
"Sin Despertar","AR40FOA1187B98EABB","Kudai",2,"SODTYBO12A58A7B657","CAMRBJJ13332F2C1EA"
"Me Pregunto","ARF43XX1187B99EE7F","Belanova",NA,"SOFJMQW12AF72AA3D7","CAMRBJJ13332F2C1EA"
"Vidas paralelas","AR061J011A348F060F","Ximena Sariñana",1,"SOJJQMM12AB0182E5B","CAMRBJJ13332F2C1EA"
"Lejos De Aquí","AR40FOA1187B98EABB","Kudai",NA,"SOEFEWZ12AF72A2B0C","CAMRBJJ13332F2C1EA"
"Lloro Por Ti","ARDCFNZ1187FB3DDB0","Enrique Iglesias",1,"SOOHKUS12A8C13AB12","CAMRBJJ13332F2C1EA"
"Absurda Cenicienta (Shortcut To Heaven)","ARV3Q7L1187B98A3A5","Chenoa",3,"SOBNLVI12A8C13E881","CAMRBJJ13332F2C1EA"
"Princesa Tibetana","AR094JM1187FB3F685","Timbiriche",1,"SOOAJPQ12A8C1421DD","CAMRBJJ13332F2C1EA"
"Estoy Aquí","AR6PJ8R1187FB5AD70","Shakira",2,"SOEBYTE12A8C14389C","CAMRBJJ13332F2C1EA"
"Rammstein - Sehnsucht - 02 - Engel","ARWAQTR1187FB38810","Rammstein",1,"SOQHFWA12AAA8C6662","CAMRBJJ13332F2C1EA"
"Cuídate","ARBHW3X1187B999013","La Oreja de Van Gogh",NA,"SODWANZ12A8C134AF5","CAMRBJJ13332F2C1EA"
"Asche Zu Asche","ARWAQTR1187FB38810","Rammstein",2,"SOLKBSU12AAA8C6631","CAMRBJJ13332F2C1EA"
"Du Hast","ARWAQTR1187FB38810","Rammstein",1,"SOSYHME12A8C135DD8","CAMRBJJ13332F2C1EA"
"Ambrosia","ARSXTD61187FB423F5","Alesana",1,"SOWYQID12A8C133D47","CAMRBJJ13332F2C1EA"
"Perfecta","ARK7JAH1187B991797","Miranda!",2,"SOALMAS12AC468E8A9","CAOGLAD13332E7219D"
"Perfecta","ARK7JAH1187B991797","Miranda!",1,"SOALMAS12AC468E8A9","CAOGLAD13332E7219D"
"Prisionero","ARK7JAH1187B991797","Miranda!",3,"SOXAXJN12AC468E899","CAOGLAD13332E7219D"
"Back To Black","ARWD25M1187FB4C563","Amy Winehouse",3,"SOUZLXN12A6D4F4A66","CAOGLAD13332E7219D"
"Civil War","ARM7EDF1187B9B3FA1","Guns N' Roses",1,"SOUPMLF12A6701EAFE","CAOGLAD13332E7219D"
"You Could Be Mine","ARM7EDF1187B9B3FA1","Guns N' Roses",1,"SOUBXSF12A6701D23C","CAOGLAD13332E7219D"
"Cupid","ARWD25M1187FB4C563","Amy Winehouse",1,"SOBJOSC12A8C137A74","CAOGLAD13332E7219D"
"Tú","ARCIGKY1187FB4FAC7","Lucybell",1,"SOWFQMW12A8C13C1A2","CAOGLAD13332E7219D"
"Sombra De Ti","AR6PJ8R1187FB5AD70","Shakira",1,"SODBAHE12A8C132D34","CAOGLAD13332E7219D"
"Burning Benches","ARLUF1T1187FB3603B","Ricardo Arjona",2,"SOTIVSJ12A6310DA82","CAOGLAD13332E7219D"
"Amy Amy Amy","ARWD25M1187FB4C563","Amy Winehouse",3,"SOWOAXK12A6310D81F","CAOGLAD13332E7219D"
"La Luisa armada","AR6PT5R1187B991EA3","Joe Vasconcellos",1,"SOPCKWS12AB017AB60","CAOGLAD13332E7219D"
"Ciudad traicionera","AR6PT5R1187B991EA3","Joe Vasconcellos",1,"SOAQDMM12AB017AB6C","CAOGLAD13332E7219D"
"Una noche más","AR6PT5R1187B991EA3","Joe Vasconcellos",1,"SOKIDHU12AB017AB57","CAOGLAD13332E7219D"
"Perfecta","ARK7JAH1187B991797","Miranda!",1,"SOALMAS12AC468E8A9","CAOGLAD13332E7219D"
"Bang Bang","ARZER7I1187FB385AF","Dr. Dre",2,"SOLGWLZ12A6701C7A1","CAVYKOJ1332EB1CF40"
"Follow The Leader","ARWC1WN1187FB516CE","Eric B. & Rakim",1,"SOXMMST12AB017F420","CAVYKOJ1332EB1CF40"
"Kennedy (Tommie Sunshine's ""Hilton is the new Kennedy"" Redo)","AR8FNT11187B9B1139","Kill Hannah",1,"SOCPTGT12A6D4F9B38","CAVYKOJ1332EB1CF40"
"Superman","ARTH9041187FB43E1F","Eminem",1,"SOHEMBB12A6701E907","CAVYKOJ1332EB1CF40"
"'Till I Collapse","ARTH9041187FB43E1F","Eminem",2,"SOBPKPW12A6701E8F9","CAVYKOJ1332EB1CF40"
"Children's Story","ARUMGZN1187FB37125","Slick Rick",3,"SOAIUPE12AB0185750","CAVYKOJ1332EB1CF40"
"Teenage Love","ARUMGZN1187FB37125","Slick Rick",NA,"SOUFXOF12AB0181B00","CAVYKOJ1332EB1CF40"
"D'Evils","ARLGIX31187B9AE9A0","Jay-Z",NA,"SOPGCXT12A8C138AD1","CAVYKOJ1332EB1CF40"
"Ham 'N' Eggs","AR4WHYC1187B9896E7","A Tribe Called Quest",2,"SOCOWYX12A8C13BB79","CAVYKOJ1332EB1CF40"
"Cats In The Cradle","AR9PTYM1187B9BA3D6","Ugly Kid Joe",8,"SOUHXGP12A8C13FDD3","CAVYKOJ1332EB1CF40"
"Boys & Girls (Album Version)","AR8FNT11187B9B1139","Kill Hannah",1,"SOUBAZH12A58A7C9AF","CAVYKOJ1332EB1CF40"
"Two Words","ARRH63Y1187FB47783","Kanye West",NA,"SORVNJF1315CD46AB6","CAVYKOJ1332EB1CF40"
"I Try","ARM6HLK1187FB427F0","Talib Kweli",1,"SOLKOYH12A8C135EF8","CAVYKOJ1332EB1CF40"
"On My Own","AR3SYA11187FB4EF76","Ulrich Schnauss",2,"SOXDPEP12AB0180E1E","CAVYKOJ1332EB1CF40"
"Holy Moly (Album Version)","ARM6HLK1187FB427F0","Talib Kweli",2,"SOOAMFC12A8C1402F4","CAVYKOJ1332EB1CF40"
"Killing For Love (Beatfanatic remix)","ARJTUSK1187B99A4B3","José González",1,"SOTHMFW12A6D4FC4DE","CAONFWG1333289DD82"
"Human","ARVG4OK1187B9B6BD3","The Killers",1,"SOPEOGA12AB017B694","CAONFWG1333289DD82"
"Mermaids","AR2KZHF1187B9B2ABF","Xandria",1,"SOVSLII12AAF3B20CC","CAONFWG1333289DD82"
"Jimmy James","ARLHO5Z1187FB4C861","Beastie Boys",5,"SOGWXGL12A6D4F41C0","CAONFWG1333289DD82"
"Si Te Contara","ARJZPMG12086C111BC","Ibrahím Ferrer",6,"SOOEHDB12A58A809A2","CAONFWG1333289DD82"
"You Don't Know Me (featuring Regina Spektor)","AR76NY61187FB4F82F","Ben Folds",3,"SOWYRZV12AF72A23E6","CAONFWG1333289DD82"
"Searchin'","AR7EDZC1187FB3B499","Brant Bjork",5,"SOUNSQC12AC9071827","CAONFWG1333289DD82"
"Your Rap Is Sad","ARCNLFW1187FB40173","Carlos Jean",1,"SOMANAV12A6D4F7B7C","CAONFWG1333289DD82"
"Mudanca De Tempo","AR8CELT1187FB36D74","O Terço",1,"SONLUQI12A6D4FABFA","CAONFWG1333289DD82"
"We Live To Play","AR1C4OQ1187B9A2105","Arrogance",2,"SOCQJYL12AB0188839","CAONFWG1333289DD82"
"Blues & Reds","AR73V031187B9A1883","Justine Electra",1,"SOZOQEO12AB017DCB2","CAONFWG1333289DD82"
"Adrenaline","ARQ3UJ01187B9B6BE2","Profane Omen",1,"SOWGVLQ12A8C13B290","CAONFWG1333289DD82"
"Cross Country Boy","ARD8JVH1187FB4DA04","Bad Company",1,"SOCCGOC12AB01847BB","CAONFWG1333289DD82"
"Ten Cent Pistol","ARS8GNX1187B9B5141","The Black Keys",23,"SONQGIW1312A8AA794","CAONFWG1333289DD82"
"Unknown Brother","ARS8GNX1187B9B5141","The Black Keys",1,"SOMVMVF12AB018C9A6","CAONFWG1333289DD82"
"Barbarians","AR62SOJ1187FB47BB5","Chase & Status",NA,"SOKNRYS12AB017F118","CAPHAXY1332EB74C7F"
"Crawl Straight Home","ARWONA71187B98DF90","HorrorPops",NA,"SOCJJSR12A8C138BB4","CAPHAXY1332EB74C7F"
"Where You Can't Follow","ARWONA71187B98DF90","HorrorPops",1,"SOOQPYQ12A8C138BBA","CAPHAXY1332EB74C7F"
"Psychobitches Outta Hell (Album Version)","ARWONA71187B98DF90","HorrorPops",NA,"SOUKVWM12A8C13AD2C","CAPHAXY1332EB74C7F"
"Dotted With Hearts (Album Version)","ARWONA71187B98DF90","HorrorPops",1,"SOIFKCR12A8C13AD30","CAPHAXY1332EB74C7F"
"Baby Lou Tattoo (Album Version)","ARWONA71187B98DF90","HorrorPops",1,"SOFWGJY12A8C13AD35","CAPHAXY1332EB74C7F"
"Who Killed The Cheerleader","AR4CB5F1187B99D170","Nekromantix",1,"SOTZXEH12A8C138B0E","CAPHAXY1332EB74C7F"
"Kiss Kiss Kill Kill","ARWONA71187B98DF90","HorrorPops",1,"SOYZHWR12A8C137968","CAPHAXY1332EB74C7F"
"Where You Can't Follow","ARWONA71187B98DF90","HorrorPops",5,"SOOQPYQ12A8C138BBA","CAPHAXY1332EB74C7F"
"Obstructed View","ARZWK2R1187B98F09F","Rise Against",1,"SOELJFP12A6701E2DB","CAPHAXY1332EB74C7F"
"The Approaching Curve","ARZWK2R1187B98F09F","Rise Against",NA,"SOSORKJ1315CD46F6E","CAPHAXY1332EB74C7F"
"Miss Take (Album Version)","ARWONA71187B98DF90","HorrorPops",NA,"SOKTYPK12A8C13AD20","CAPHAXY1332EB74C7F"
"For Boston (Album Version)","ARD2NDU1187B99B615","Dropkick Murphys",1,"SOLDBRG12A8C13A1ED","CAPHAXY1332EB74C7F"
"Prelude: Death Of A Tiger (Album Version)","ARK8T3F1187B99FB52","Tiger Army",NA,"SOXJPMQ12A58A7D713","CAPHAXY1332EB74C7F"
"Boys on the Docks (Live)","ARD2NDU1187B99B615","Dropkick Murphys",1,"SOIGSDQ12AB017B5D1","CAPHAXY1332EB74C7F"
"Pretty Toes","ARCBD0U1187FB466EF","Nelly",1,"SOUJJMD12A6701E6EA","CAOROJD13332FEE5A5"
"She Don't Know My Name","ARCBD0U1187FB466EF","Nelly",1,"SOCFIZQ12A6701E6ED","CAOROJD13332FEE5A5"
"I'm Talkin' To You (Explicit Album Version)","ARBS1OC1187FB44CAF","T.I.",1,"SOUYDLS12A6D4F6C0B","CAOROJD13332FEE5A5"
"The Heart Gently Weeps","ARVTAI41187B9B8B67","Wu-Tang Clan",2,"SOEHUXQ12A6D4FC2CA","CAOROJD13332FEE5A5"
"Method Man","ARWPZIE1187B9B7F82","Method Man",1,"SOSFUHU12A6D4FAF1F","CAOROJD13332FEE5A5"
"Put the Whip On It","AR81GOD1187B9B1583","Young Jeezy",1,"SONOSJV12A6D4FCCB9","CAOROJD13332FEE5A5"
"The Glide","ARWPZIE1187B9B7F82","Method Man",1,"SOYIWNY12A58A7CA75","CAOROJD13332FEE5A5"
"Greg Street Stuntin'","AR0Y9WH1187B9ACB04","Big Tymers",2,"SOGIDBO12A6D4F811C","CAOROJD13332FEE5A5"
"Mermaid Smiled","ARNSYEO1187B9B8945","XTC",1,"SODJDCL12A6BD56777","CAOROJD13332FEE5A5"
"Aww Skeet Skeet","ARHLGDG11F4C846A37","Lil Jon",1,"SOVGBNY12A6701C158","CAOROJD13332FEE5A5"
"Bitches Aint Shit","ARHLGDG11F4C846A37","Lil Jon",2,"SONDIHO12A6701C15B","CAOROJD13332FEE5A5"
"White Meat (feat. 8 Ball, MJG)","ARHLGDG11F4C846A37","Lil Jon",1,"SOLQTHD12DC938F1C7","CAOROJD13332FEE5A5"
"Mitchell Bade (interlude)","ARGXIE31187FB55B48","Tech N9ne",1,"SOYJOAO12AB01897E7","CAOROJD13332FEE5A5"
"Brooklyn King","ARU4FPZ1187B9B78F9","Masta Killa",NA,"SODLTIB12A6D4F9F83","CAOROJD13332FEE5A5"
"Bottle Poppin' (feat. Gorilla Zoe) (Explicit Album Version)","AROHMXL1187B9AF4B2","Yung Joc",1,"SODCZEL12A6D4FBAF9","CAOROJD13332FEE5A5"
"William It Was Really Nothing","ARPN0Y61187B9ABAA0","The Smiths",1,"SOFWTEE1311AFE2D1B","CAYFBEH13332ABA012"
"Doctors & Dealers","ARCNIA01187FB3D245","Dirty Pretty Things",2,"SODIJSQ12A6D4F866E","CAYFBEH13332ABA012"
"Unloveable","ARPN0Y61187B9ABAA0","The Smiths",1,"SOTYXGB12A8C13C55C","CAYFBEH13332ABA012"
"Stretch Out And Wait","ARPN0Y61187B9ABAA0","The Smiths",1,"SOVNUCE12A8C13C561","CAYFBEH13332ABA012"
"Panic","ARPN0Y61187B9ABAA0","The Smiths",1,"SOPHWDH12A58A77846","CAYFBEH13332ABA012"
"Nowhere Fast","ARPN0Y61187B9ABAA0","The Smiths",NA,"SOSXTMT12A8C1404BC","CAYFBEH13332ABA012"
"Leave The City And Come Home","ARWF4LO1187FB59924","The Rakes",2,"SOKJEHU12AB018989B","CAYFBEH13332ABA012"
"What They Found","AR5JDDD1187FB460C4","The Octopus Project",2,"SOTORXA12A58A79338","CAYFBEH13332ABA012"
"Rorol","AR5JDDD1187FB460C4","The Octopus Project",2,"SOAMPRJ12A8AE45F38","CAYFBEH13332ABA012"
"The Way Things Go","AR5JDDD1187FB460C4","The Octopus Project",1,"SOVHVBJ12A58A7AB0A","CAYFBEH13332ABA012"
"Hypnopaedia","AR5JDDD1187FB460C4","The Octopus Project",1,"SOJHCOH12A8AE45F4F","CAYFBEH13332ABA012"
"Drunk Kid Catholic","ARH0TST1187FB3F8F1","Bright Eyes",1,"SOZPLKR12A6D4F8421","CAYFBEH13332ABA012"
